category,section,range,code,description,keywords
Category I,Surgery – Musculoskeletal,20000–29999,27562,Treat kneecap dislocation,treat kneecap dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27566,Treat kneecap dislocation,treat kneecap dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27570,Fixation of knee joint,fixation of knee joint
Category I,Surgery – Musculoskeletal,20000–29999,27580,Fusion of knee,fusion of knee
Category I,Surgery – Musculoskeletal,20000–29999,27590,Amputate leg at thigh,amputate leg at thigh
Category I,Surgery – Musculoskeletal,20000–29999,27591,Amputate leg at thigh,amputate leg at thigh
Category I,Surgery – Musculoskeletal,20000–29999,27592,Amputate leg at thigh,amputate leg at thigh
Category I,Surgery – Musculoskeletal,20000–29999,27594,Amputation follow-up surgery,amputation follow-up surgery
Category I,Surgery – Musculoskeletal,20000–29999,27596,Amputation follow-up surgery,amputation follow-up surgery
Category I,Surgery – Musculoskeletal,20000–29999,27598,Amputate lower leg at knee,amputate lower leg at knee
Category I,Surgery – Musculoskeletal,20000–29999,27599,Leg surgery procedure,leg surgery procedure
Category I,Surgery – Musculoskeletal,20000–29999,27600,Decompression of lower leg,decompression of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27601,Decompression of lower leg,decompression of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27602,Decompression of lower leg,decompression of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27603,Drain lower leg lesion,drain lower leg lesion
Category I,Surgery – Musculoskeletal,20000–29999,27604,Drain lower leg bursa,drain lower leg bursa
Category I,Surgery – Musculoskeletal,20000–29999,27605,Incision of achilles tendon,incision of achilles tendon
Category I,Surgery – Musculoskeletal,20000–29999,27606,Incision of achilles tendon,incision of achilles tendon
Category I,Surgery – Musculoskeletal,20000–29999,27607,Treat lower leg bone lesion,treat lower leg bone lesion
Category I,Surgery – Musculoskeletal,20000–29999,27610,Explore/treat ankle joint,explore/treat ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27612,Exploration of ankle joint,exploration of ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27613,Biopsy lower leg soft tissue,biopsy lower leg soft tissue
Category I,Surgery – Musculoskeletal,20000–29999,27614,Biopsy lower leg soft tissue,biopsy lower leg soft tissue
Category I,Surgery – Musculoskeletal,20000–29999,27615,"""Remove tumor, lower leg""","""remove tumor, lower leg"""
Category I,Surgery – Musculoskeletal,20000–29999,27618,Remove lower leg lesion,remove lower leg lesion
Category I,Surgery – Musculoskeletal,20000–29999,27619,Remove lower leg lesion,remove lower leg lesion
Category I,Surgery – Musculoskeletal,20000–29999,27620,Explore/treat ankle joint,explore/treat ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27625,Remove ankle joint lining,remove ankle joint lining
Category I,Surgery – Musculoskeletal,20000–29999,27626,Remove ankle joint lining,remove ankle joint lining
Category I,Surgery – Musculoskeletal,20000–29999,27630,Removal of tendon lesion,removal of tendon lesion
Category I,Surgery – Musculoskeletal,20000–29999,27635,Remove lower leg bone lesion,remove lower leg bone lesion
Category I,Surgery – Musculoskeletal,20000–29999,27637,Remove/graft leg bone lesion,remove/graft leg bone lesion
Category I,Surgery – Musculoskeletal,20000–29999,27638,Remove/graft leg bone lesion,remove/graft leg bone lesion
Category I,Surgery – Musculoskeletal,20000–29999,27640,Partial removal of tibia,partial removal of tibia
Category I,Surgery – Musculoskeletal,20000–29999,27641,Partial removal of fibula,partial removal of fibula
Category I,Surgery – Musculoskeletal,20000–29999,27645,Extensive lower leg surgery,extensive lower leg surgery
Category I,Surgery – Musculoskeletal,20000–29999,27646,Extensive lower leg surgery,extensive lower leg surgery
Category I,Surgery – Musculoskeletal,20000–29999,27647,Extensive ankle/heel surgery,extensive ankle/heel surgery
Category I,Surgery – Musculoskeletal,20000–29999,27648,Injection for ankle x-ray,injection for ankle x-ray
Category I,Surgery – Musculoskeletal,20000–29999,27650,Repair achilles tendon,repair achilles tendon
Category I,Surgery – Musculoskeletal,20000–29999,27652,Repair/graft achilles tendon,repair/graft achilles tendon
Category I,Surgery – Musculoskeletal,20000–29999,27654,Repair of achilles tendon,repair of achilles tendon
Category I,Surgery – Musculoskeletal,20000–29999,27656,Repair leg fascia defect,repair leg fascia defect
Category I,Surgery – Musculoskeletal,20000–29999,27658,"""Repair of leg tendon, each""","""repair of leg tendon, each"""
Category I,Surgery – Musculoskeletal,20000–29999,27659,"""Repair of leg tendon, each""","""repair of leg tendon, each"""
Category I,Surgery – Musculoskeletal,20000–29999,27664,"""Repair of leg tendon, each""","""repair of leg tendon, each"""
Category I,Surgery – Musculoskeletal,20000–29999,27665,"""Repair of leg tendon, each""","""repair of leg tendon, each"""
Category I,Surgery – Musculoskeletal,20000–29999,27675,Repair lower leg tendons,repair lower leg tendons
Category I,Surgery – Musculoskeletal,20000–29999,27676,Repair lower leg tendons,repair lower leg tendons
Category I,Surgery – Musculoskeletal,20000–29999,27680,Release of lower leg tendon,release of lower leg tendon
Category I,Surgery – Musculoskeletal,20000–29999,27681,Release of lower leg tendons,release of lower leg tendons
Category I,Surgery – Musculoskeletal,20000–29999,27685,Revision of lower leg tendon,revision of lower leg tendon
Category I,Surgery – Musculoskeletal,20000–29999,27686,Revise lower leg tendons,revise lower leg tendons
Category I,Surgery – Musculoskeletal,20000–29999,27687,Revision of calf tendon,revision of calf tendon
Category I,Surgery – Musculoskeletal,20000–29999,27690,Revise lower leg tendon,revise lower leg tendon
Category I,Surgery – Musculoskeletal,20000–29999,27691,Revise lower leg tendon,revise lower leg tendon
Category I,Surgery – Musculoskeletal,20000–29999,27692,Revise additional leg tendon,revise additional leg tendon
Category I,Surgery – Musculoskeletal,20000–29999,27695,Repair of ankle ligament,repair of ankle ligament
Category I,Surgery – Musculoskeletal,20000–29999,27696,Repair of ankle ligaments,repair of ankle ligaments
Category I,Surgery – Musculoskeletal,20000–29999,27698,Repair of ankle ligament,repair of ankle ligament
Category I,Surgery – Musculoskeletal,20000–29999,27700,Revision of ankle joint,revision of ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27702,Reconstruct ankle joint,reconstruct ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27703,"""Reconstruction, ankle joint""","""reconstruction, ankle joint"""
Category I,Surgery – Musculoskeletal,20000–29999,27704,Removal of ankle implant,removal of ankle implant
Category I,Surgery – Musculoskeletal,20000–29999,27705,Incision of tibia,incision of tibia
Category I,Surgery – Musculoskeletal,20000–29999,27707,Incision of fibula,incision of fibula
Category I,Surgery – Musculoskeletal,20000–29999,27709,Incision of tibia & fibula,incision of tibia & fibula
Category I,Surgery – Musculoskeletal,20000–29999,27712,Realignment of lower leg,realignment of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27715,Revision of lower leg,revision of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27720,Repair of tibia,repair of tibia
Category I,Surgery – Musculoskeletal,20000–29999,27722,Repair/graft of tibia,repair/graft of tibia
Category I,Surgery – Musculoskeletal,20000–29999,27724,Repair/graft of tibia,repair/graft of tibia
Category I,Surgery – Musculoskeletal,20000–29999,27725,Repair of lower leg,repair of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27727,Repair of lower leg,repair of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27730,Repair of tibia epiphysis,repair of tibia epiphysis
Category I,Surgery – Musculoskeletal,20000–29999,27732,Repair of fibula epiphysis,repair of fibula epiphysis
Category I,Surgery – Musculoskeletal,20000–29999,27734,Repair lower leg epiphyses,repair lower leg epiphyses
Category I,Surgery – Musculoskeletal,20000–29999,27740,Repair of leg epiphyses,repair of leg epiphyses
Category I,Surgery – Musculoskeletal,20000–29999,27742,Repair of leg epiphyses,repair of leg epiphyses
Category I,Surgery – Musculoskeletal,20000–29999,27745,Reinforce tibia,reinforce tibia
Category I,Surgery – Musculoskeletal,20000–29999,27750,Treatment of tibia fracture,treatment of tibia fracture
Category I,Surgery – Musculoskeletal,20000–29999,27752,Treatment of tibia fracture,treatment of tibia fracture
Category I,Surgery – Musculoskeletal,20000–29999,27756,Treatment of tibia fracture,treatment of tibia fracture
Category I,Surgery – Musculoskeletal,20000–29999,27758,Treatment of tibia fracture,treatment of tibia fracture
Category I,Surgery – Musculoskeletal,20000–29999,27759,Treatment of tibia fracture,treatment of tibia fracture
Category I,Surgery – Musculoskeletal,20000–29999,27760,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27762,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27766,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27780,Treatment of fibula fracture,treatment of fibula fracture
Category I,Surgery – Musculoskeletal,20000–29999,27781,Treatment of fibula fracture,treatment of fibula fracture
Category I,Surgery – Musculoskeletal,20000–29999,27784,Treatment of fibula fracture,treatment of fibula fracture
Category I,Surgery – Musculoskeletal,20000–29999,27786,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27788,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27792,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27808,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27810,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27814,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27816,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27818,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27822,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27823,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,27824,Treat lower leg fracture,treat lower leg fracture
Category I,Surgery – Musculoskeletal,20000–29999,27825,Treat lower leg fracture,treat lower leg fracture
Category I,Surgery – Musculoskeletal,20000–29999,27826,Treat lower leg fracture,treat lower leg fracture
Category I,Surgery – Musculoskeletal,20000–29999,27827,Treat lower leg fracture,treat lower leg fracture
Category I,Surgery – Musculoskeletal,20000–29999,27828,Treat lower leg fracture,treat lower leg fracture
Category I,Surgery – Musculoskeletal,20000–29999,27829,Treat lower leg joint,treat lower leg joint
Category I,Surgery – Musculoskeletal,20000–29999,27830,Treat lower leg dislocation,treat lower leg dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27831,Treat lower leg dislocation,treat lower leg dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27832,Treat lower leg dislocation,treat lower leg dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27840,Treat ankle dislocation,treat ankle dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27842,Treat ankle dislocation,treat ankle dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27846,Treat ankle dislocation,treat ankle dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27848,Treat ankle dislocation,treat ankle dislocation
Category I,Surgery – Musculoskeletal,20000–29999,27860,Fixation of ankle joint,fixation of ankle joint
Category I,Surgery – Musculoskeletal,20000–29999,27870,"""Fusion of ankle joint, open""","""fusion of ankle joint, open"""
Category I,Surgery – Musculoskeletal,20000–29999,27871,Fusion of tibiofibular joint,fusion of tibiofibular joint
Category I,Surgery – Musculoskeletal,20000–29999,27880,Amputation of lower leg,amputation of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27881,Amputation of lower leg,amputation of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27882,Amputation of lower leg,amputation of lower leg
Category I,Surgery – Musculoskeletal,20000–29999,27884,Amputation follow-up surgery,amputation follow-up surgery
Category I,Surgery – Musculoskeletal,20000–29999,27886,Amputation follow-up surgery,amputation follow-up surgery
Category I,Surgery – Musculoskeletal,20000–29999,27888,Amputation of foot at ankle,amputation of foot at ankle
Category I,Surgery – Musculoskeletal,20000–29999,27889,Amputation of foot at ankle,amputation of foot at ankle
Category I,Surgery – Musculoskeletal,20000–29999,27892,Decompression of leg,decompression of leg
Category I,Surgery – Musculoskeletal,20000–29999,27893,Decompression of leg,decompression of leg
Category I,Surgery – Musculoskeletal,20000–29999,27894,Decompression of leg,decompression of leg
Category I,Surgery – Musculoskeletal,20000–29999,27899,Leg/ankle surgery procedure,leg/ankle surgery procedure
Category I,Surgery – Musculoskeletal,20000–29999,28001,Drainage of bursa of foot,drainage of bursa of foot
Category I,Surgery – Musculoskeletal,20000–29999,28002,Treatment of foot infection,treatment of foot infection
Category I,Surgery – Musculoskeletal,20000–29999,28003,Treatment of foot infection,treatment of foot infection
Category I,Surgery – Musculoskeletal,20000–29999,28005,Treat foot bone lesion,treat foot bone lesion
Category I,Surgery – Musculoskeletal,20000–29999,28008,Incision of foot fascia,incision of foot fascia
Category I,Surgery – Musculoskeletal,20000–29999,28010,Incision of toe tendon,incision of toe tendon
Category I,Surgery – Musculoskeletal,20000–29999,28011,Incision of toe tendons,incision of toe tendons
Category I,Surgery – Musculoskeletal,20000–29999,28020,Exploration of foot joint,exploration of foot joint
Category I,Surgery – Musculoskeletal,20000–29999,28022,Exploration of foot joint,exploration of foot joint
Category I,Surgery – Musculoskeletal,20000–29999,28024,Exploration of toe joint,exploration of toe joint
Category I,Surgery – Musculoskeletal,20000–29999,28030,Removal of foot nerve,removal of foot nerve
Category I,Surgery – Musculoskeletal,20000–29999,28035,Decompression of tibia nerve,decompression of tibia nerve
Category I,Surgery – Musculoskeletal,20000–29999,28043,Excision of foot lesion,excision of foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28045,Excision of foot lesion,excision of foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28046,"""Resection of tumor, foot""","""resection of tumor, foot"""
Category I,Surgery – Musculoskeletal,20000–29999,28050,Biopsy of foot joint lining,biopsy of foot joint lining
Category I,Surgery – Musculoskeletal,20000–29999,28052,Biopsy of foot joint lining,biopsy of foot joint lining
Category I,Surgery – Musculoskeletal,20000–29999,28054,Biopsy of toe joint lining,biopsy of toe joint lining
Category I,Surgery – Musculoskeletal,20000–29999,28060,"""Partial removal, foot fascia""","""partial removal, foot fascia"""
Category I,Surgery – Musculoskeletal,20000–29999,28062,Removal of foot fascia,removal of foot fascia
Category I,Surgery – Musculoskeletal,20000–29999,28070,Removal of foot joint lining,removal of foot joint lining
Category I,Surgery – Musculoskeletal,20000–29999,28072,Removal of foot joint lining,removal of foot joint lining
Category I,Surgery – Musculoskeletal,20000–29999,28080,Removal of foot lesion,removal of foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28086,Excise foot tendon sheath,excise foot tendon sheath
Category I,Surgery – Musculoskeletal,20000–29999,28088,Excise foot tendon sheath,excise foot tendon sheath
Category I,Surgery – Musculoskeletal,20000–29999,28090,Removal of foot lesion,removal of foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28092,Removal of toe lesions,removal of toe lesions
Category I,Surgery – Musculoskeletal,20000–29999,28100,Removal of ankle/heel lesion,removal of ankle/heel lesion
Category I,Surgery – Musculoskeletal,20000–29999,28102,Remove/graft foot lesion,remove/graft foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28103,Remove/graft foot lesion,remove/graft foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28104,Removal of foot lesion,removal of foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28106,Remove/graft foot lesion,remove/graft foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28107,Remove/graft foot lesion,remove/graft foot lesion
Category I,Surgery – Musculoskeletal,20000–29999,28108,Removal of toe lesions,removal of toe lesions
Category I,Surgery – Musculoskeletal,20000–29999,28110,Part removal of metatarsal,part removal of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28111,Part removal of metatarsal,part removal of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28112,Part removal of metatarsal,part removal of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28113,Part removal of metatarsal,part removal of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28114,Removal of metatarsal heads,removal of metatarsal heads
Category I,Surgery – Musculoskeletal,20000–29999,28116,Revision of foot,revision of foot
Category I,Surgery – Musculoskeletal,20000–29999,28118,Removal of heel bone,removal of heel bone
Category I,Surgery – Musculoskeletal,20000–29999,28119,Removal of heel spur,removal of heel spur
Category I,Surgery – Musculoskeletal,20000–29999,28120,Part removal of ankle/heel,part removal of ankle/heel
Category I,Surgery – Musculoskeletal,20000–29999,28122,Partial removal of foot bone,partial removal of foot bone
Category I,Surgery – Musculoskeletal,20000–29999,28124,Partial removal of toe,partial removal of toe
Category I,Surgery – Musculoskeletal,20000–29999,28126,Partial removal of toe,partial removal of toe
Category I,Surgery – Musculoskeletal,20000–29999,28130,Removal of ankle bone,removal of ankle bone
Category I,Surgery – Musculoskeletal,20000–29999,28140,Removal of metatarsal,removal of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28150,Removal of toe,removal of toe
Category I,Surgery – Musculoskeletal,20000–29999,28153,Partial removal of toe,partial removal of toe
Category I,Surgery – Musculoskeletal,20000–29999,28160,Partial removal of toe,partial removal of toe
Category I,Surgery – Musculoskeletal,20000–29999,28171,Extensive foot surgery,extensive foot surgery
Category I,Surgery – Musculoskeletal,20000–29999,28173,Extensive foot surgery,extensive foot surgery
Category I,Surgery – Musculoskeletal,20000–29999,28175,Extensive foot surgery,extensive foot surgery
Category I,Surgery – Musculoskeletal,20000–29999,28190,Removal of foot foreign body,removal of foot foreign body
Category I,Surgery – Musculoskeletal,20000–29999,28192,Removal of foot foreign body,removal of foot foreign body
Category I,Surgery – Musculoskeletal,20000–29999,28193,Removal of foot foreign body,removal of foot foreign body
Category I,Surgery – Musculoskeletal,20000–29999,28200,Repair of foot tendon,repair of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28202,Repair/graft of foot tendon,repair/graft of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28208,Repair of foot tendon,repair of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28210,Repair/graft of foot tendon,repair/graft of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28220,Release of foot tendon,release of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28222,Release of foot tendons,release of foot tendons
Category I,Surgery – Musculoskeletal,20000–29999,28225,Release of foot tendon,release of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28226,Release of foot tendons,release of foot tendons
Category I,Surgery – Musculoskeletal,20000–29999,28230,Incision of foot tendon(s),incision of foot tendon(s)
Category I,Surgery – Musculoskeletal,20000–29999,28232,Incision of toe tendon,incision of toe tendon
Category I,Surgery – Musculoskeletal,20000–29999,28234,Incision of foot tendon,incision of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28238,Revision of foot tendon,revision of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28240,Release of big toe,release of big toe
Category I,Surgery – Musculoskeletal,20000–29999,28250,Revision of foot fascia,revision of foot fascia
Category I,Surgery – Musculoskeletal,20000–29999,28260,Release of midfoot joint,release of midfoot joint
Category I,Surgery – Musculoskeletal,20000–29999,28261,Revision of foot tendon,revision of foot tendon
Category I,Surgery – Musculoskeletal,20000–29999,28262,Revision of foot and ankle,revision of foot and ankle
Category I,Surgery – Musculoskeletal,20000–29999,28264,Release of midfoot joint,release of midfoot joint
Category I,Surgery – Musculoskeletal,20000–29999,28270,Release of foot contracture,release of foot contracture
Category I,Surgery – Musculoskeletal,20000–29999,28272,"""Release of toe joint, each""","""release of toe joint, each"""
Category I,Surgery – Musculoskeletal,20000–29999,28280,Fusion of toes,fusion of toes
Category I,Surgery – Musculoskeletal,20000–29999,28285,Repair of hammertoe,repair of hammertoe
Category I,Surgery – Musculoskeletal,20000–29999,28286,Repair of hammertoe,repair of hammertoe
Category I,Surgery – Musculoskeletal,20000–29999,28288,Partial removal of foot bone,partial removal of foot bone
Category I,Surgery – Musculoskeletal,20000–29999,28289,Repair hallux rigidus,repair hallux rigidus
Category I,Surgery – Musculoskeletal,20000–29999,28290,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28292,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28293,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28294,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28296,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28297,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28298,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28299,Correction of bunion,correction of bunion
Category I,Surgery – Musculoskeletal,20000–29999,28300,Incision of heel bone,incision of heel bone
Category I,Surgery – Musculoskeletal,20000–29999,28302,Incision of ankle bone,incision of ankle bone
Category I,Surgery – Musculoskeletal,20000–29999,28304,Incision of midfoot bones,incision of midfoot bones
Category I,Surgery – Musculoskeletal,20000–29999,28305,Incise/graft midfoot bones,incise/graft midfoot bones
Category I,Surgery – Musculoskeletal,20000–29999,28306,Incision of metatarsal,incision of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28307,Incision of metatarsal,incision of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28308,Incision of metatarsal,incision of metatarsal
Category I,Surgery – Musculoskeletal,20000–29999,28309,Incision of metatarsals,incision of metatarsals
Category I,Surgery – Musculoskeletal,20000–29999,28310,Revision of big toe,revision of big toe
Category I,Surgery – Musculoskeletal,20000–29999,28312,Revision of toe,revision of toe
Category I,Surgery – Musculoskeletal,20000–29999,28313,Repair deformity of toe,repair deformity of toe
Category I,Surgery – Musculoskeletal,20000–29999,28315,Removal of sesamoid bone,removal of sesamoid bone
Category I,Surgery – Musculoskeletal,20000–29999,28320,Repair of foot bones,repair of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28322,Repair of metatarsals,repair of metatarsals
Category I,Surgery – Musculoskeletal,20000–29999,28340,Resect enlarged toe tissue,resect enlarged toe tissue
Category I,Surgery – Musculoskeletal,20000–29999,28341,Resect enlarged toe,resect enlarged toe
Category I,Surgery – Musculoskeletal,20000–29999,28344,Repair extra toe(s),repair extra toe(s)
Category I,Surgery – Musculoskeletal,20000–29999,28345,Repair webbed toe(s),repair webbed toe(s)
Category I,Surgery – Musculoskeletal,20000–29999,28360,Reconstruct cleft foot,reconstruct cleft foot
Category I,Surgery – Musculoskeletal,20000–29999,28400,Treatment of heel fracture,treatment of heel fracture
Category I,Surgery – Musculoskeletal,20000–29999,28405,Treatment of heel fracture,treatment of heel fracture
Category I,Surgery – Musculoskeletal,20000–29999,28406,Treatment of heel fracture,treatment of heel fracture
Category I,Surgery – Musculoskeletal,20000–29999,28415,Treat heel fracture,treat heel fracture
Category I,Surgery – Musculoskeletal,20000–29999,28420,Treat/graft heel fracture,treat/graft heel fracture
Category I,Surgery – Musculoskeletal,20000–29999,28430,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,28435,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,28436,Treatment of ankle fracture,treatment of ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,28445,Treat ankle fracture,treat ankle fracture
Category I,Surgery – Musculoskeletal,20000–29999,28450,"""Treat midfoot fracture, each""","""treat midfoot fracture, each"""
Category I,Surgery – Musculoskeletal,20000–29999,28455,"""Treat midfoot fracture, each""","""treat midfoot fracture, each"""
Category I,Surgery – Musculoskeletal,20000–29999,28456,Treat midfoot fracture,treat midfoot fracture
Category I,Surgery – Musculoskeletal,20000–29999,28465,"""Treat midfoot fracture, each""","""treat midfoot fracture, each"""
Category I,Surgery – Musculoskeletal,20000–29999,28470,Treat metatarsal fracture,treat metatarsal fracture
Category I,Surgery – Musculoskeletal,20000–29999,28475,Treat metatarsal fracture,treat metatarsal fracture
Category I,Surgery – Musculoskeletal,20000–29999,28476,Treat metatarsal fracture,treat metatarsal fracture
Category I,Surgery – Musculoskeletal,20000–29999,28485,Treat metatarsal fracture,treat metatarsal fracture
Category I,Surgery – Musculoskeletal,20000–29999,28490,Treat big toe fracture,treat big toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28495,Treat big toe fracture,treat big toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28496,Treat big toe fracture,treat big toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28505,Treat big toe fracture,treat big toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28510,Treatment of toe fracture,treatment of toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28515,Treatment of toe fracture,treatment of toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28525,Treat toe fracture,treat toe fracture
Category I,Surgery – Musculoskeletal,20000–29999,28530,Treat sesamoid bone fracture,treat sesamoid bone fracture
Category I,Surgery – Musculoskeletal,20000–29999,28531,Treat sesamoid bone fracture,treat sesamoid bone fracture
Category I,Surgery – Musculoskeletal,20000–29999,28540,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28545,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28546,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28555,Repair foot dislocation,repair foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28570,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28575,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28576,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28585,Repair foot dislocation,repair foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28600,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28605,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28606,Treat foot dislocation,treat foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28615,Repair foot dislocation,repair foot dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28630,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28635,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28636,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28645,Repair toe dislocation,repair toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28660,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28665,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28666,Treat toe dislocation,treat toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28675,Repair of toe dislocation,repair of toe dislocation
Category I,Surgery – Musculoskeletal,20000–29999,28705,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28715,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28725,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28730,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28735,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28737,Revision of foot bones,revision of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28740,Fusion of foot bones,fusion of foot bones
Category I,Surgery – Musculoskeletal,20000–29999,28750,Fusion of big toe joint,fusion of big toe joint
Category I,Surgery – Musculoskeletal,20000–29999,28755,Fusion of big toe joint,fusion of big toe joint
